n_lanDamento data desDriDao valortipo
"1";"03/06/2022";"Cafezinho";"12.00";"D"
"2";"03/06/2022";"Cafezinho";"20.00";"D"
"3";"03/06/2022";"Multas";"30.00";"D"
"4";"03/06/2022";"Recebimento de parcela";"90.00";"C"
"5";"03/06/2022";"Venda Ã  vista";"170.00";"C"
"6";"03/06/2022";"Venda Ã  vista";"245.00";"C"
"7";"03/06/2022";"Impostos e taxas";"271.00";"D"
"8";"03/06/2022";"Recebimento de parcela";"325.00";"C"
"9";"03/06/2022";"Venda Ã  vista";"345.00";"C"
"10";"03/06/2022";"Recebimento de parcela";"400.00";"C"
"11";"03/06/2022";"Venda Ã  vista";"430.00";"C"
"12";"03/06/2022";"Venda Ã  vista";"450.00";"C"
"13";"03/06/2022";"Venda Ã  vista";"450.00";"C"
"14";"03/06/2022";"Recebimento de parcela";"495.00";"C"
"15";"03/06/2022";"AluguÃ l";"930.00";"D"
"16";"23/08/2022";"Cafezinho";"22.00";"D"
"17";"23/08/2022";"Recebimento de parcela";"55.00";"C"
"18";"23/08/2022";"Venda Ã  vista";"125.00";"C"
"19";"23/08/2022";"Recebimento de parcela";"135.00";"C"
"20";"23/08/2022";"Venda Ã  vista";"205.00";"C"
"21";"23/08/2022";"Impostos e taxas";"272.00";"D"
"22";"23/08/2022";"Pagamento de Fornecedor";"290.00";"D"
"23";"23/08/2022";"Venda Ã  vista";"385.00";"C"
"24";"23/08/2022";"Recebimento de parcela";"400.00";"C"
"25";"04/06/2022";"Cafezinho";"13.00";"D"
"26";"04/06/2022";"Internet";"106.00";"D"
"27";"04/06/2022";"Venda Ã  vista";"235.00";"C"
"28";"04/06/2022";"Recebimento de parcela";"325.00";"C"
"29";"04/06/2022";"Pagamento de Fornecedor";"330.00";"D"
"30";"04/06/2022";"Venda Ã  vista";"385.00";"C"
"31";"04/06/2022";"Venda Ã  vista";"405.00";"C"
"32";"04/06/2022";"Recebimento de parcela";"445.00";"C"
"33";"04/06/2022";"Venda Ã  vista";"490.00";"C"
"34";"05/06/2022";"Cafezinho";"24.00";"D"
"35";"05/06/2022";"Recebimento de parcela";"45.00";"C"
"36";"05/06/2022";"Recebimento de parcela";"65.00";"C"
"37";"05/06/2022";"Venda Ã  vista";"110.00";"C"
"38";"05/06/2022";"Recebimento de parcela";"115.00";"C"
"39";"05/06/2022";"Donta de Ã¡gua";"143.00";"D"
"40";"05/06/2022";"Venda Ã  vista";"185.00";"C"
"41";"05/06/2022";"Venda Ã  vista";"185.00";"C"
"42";"05/06/2022";"Pagamento de Fornecedor";"225.00";"D"
"43";"05/06/2022";"Recebimento de parcela";"230.00";"C"
"44";"05/06/2022";"Recebimento de parcela";"230.00";"C"
"45";"05/06/2022";"Donta de Luz";"251.00";"D"
"46";"05/06/2022";"Venda Ã  vista";"275.00";"C"
"47";"05/06/2022";"Pagamento de Fornecedor";"330.00";"D"
"48";"05/06/2022";"Venda Ã  vista";"455.00";"C"
"49";"06/06/2022";"Cafezinho";"10.00";"D"
"50";"06/06/2022";"Cafezinho";"24.00";"D"
"51";"06/06/2022";"Cafezinho";"28.00";"D"
"52";"06/06/2022";"Venda Ã  vista";"40.00";"C"
"53";"06/06/2022";"Recebimento de parcela";"40.00";"C"
"54";"06/06/2022";"Venda Ã  vista";"115.00";"C"
"55";"06/06/2022";"Recebimento de parcela";"225.00";"C"
"56";"06/06/2022";"Recebimento de parcela";"330.00";"C"
"57";"06/06/2022";"Venda Ã  vista";"385.00";"C"
"58";"07/06/2022";"Venda Ã  vista";"105.00";"C"
"59";"07/06/2022";"Pagamento de Fornecedor";"235.00";"D"
"60";"07/06/2022";"Recebimento de parcela";"415.00";"C"
"61";"08/06/2022";"Venda Ã  vista";"90.00";"C"
"62";"08/06/2022";"Venda Ã  vista";"95.00";"C"
"63";"08/06/2022";"Impostos e taxas";"114.00";"D"
"64";"08/06/2022";"Impostos e taxas";"116.00";"D"
"65";"08/06/2022";"Pagamento de Fornecedor";"175.00";"D"
"66";"08/06/2022";"Venda Ã  vista";"235.00";"C"
"67";"08/06/2022";"Venda Ã  vista";"340.00";"C"
"68";"08/06/2022";"Venda Ã  vista";"375.00";"C"
"69";"08/06/2022";"Venda Ã  vista";"435.00";"C"
"70";"09/06/2022";"Cafezinho";"25.00";"D"
"71";"09/06/2022";"Venda Ã  vista";"130.00";"C"
"72";"09/06/2022";"Recebimento de parcela";"155.00";"C"
"73";"09/06/2022";"Impostos e taxas";"163.00";"D"
"74";"09/06/2022";"Venda Ã  vista";"315.00";"C"
"75";"09/06/2022";"Venda Ã  vista";"320.00";"C"
"76";"10/06/2022";"Venda Ã  vista";"5.00";"C"
"77";"10/06/2022";"Cafezinho";"15.00";"D"
"78";"10/06/2022";"Recebimento de parcela";"130.00";"C"
"79";"10/06/2022";"Recebimento de parcela";"140.00";"C"
"80";"10/06/2022";"Recebimento de parcela";"185.00";"C"
"81";"10/06/2022";"Pagamento de Fornecedor";"185.00";"D"
"82";"10/06/2022";"Pagamento de Fornecedor";"220.00";"D"
"83";"10/06/2022";"Recebimento de parcela";"280.00";"C"
"84";"10/06/2022";"Recebimento de parcela";"325.00";"C"
"85";"11/06/2022";"Cafezinho";"12.00";"D"
"86";"11/06/2022";"Recebimento de parcela";"30.00";"C"
"87";"11/06/2022";"Venda Ã  vista";"405.00";"C"
"88";"12/06/2022";"Cafezinho";"20.00";"D"
"89";"12/06/2022";"Recebimento de parcela";"45.00";"C"
"90";"12/06/2022";"Venda Ã  vista";"65.00";"C"
"91";"12/06/2022";"Impostos e taxas";"71.00";"D"
"92";"12/06/2022";"Recebimento de parcela";"265.00";"C"
"93";"12/06/2022";"Venda Ã  vista";"475.00";"C"
"94";"13/06/2022";"Cafezinho";"17.00";"D"
"95";"13/06/2022";"Cafezinho";"24.00";"D"
"96";"13/06/2022";"Impostos e taxas";"34.00";"D"
"97";"13/06/2022";"Venda Ã  vista";"105.00";"C"
"98";"13/06/2022";"Venda Ã  vista";"165.00";"C"
"99";"13/06/2022";"Venda Ã  vista";"225.00";"C"
"100";"13/06/2022";"Recebimento de parcela";"235.00";"C"
"101";"13/06/2022";"Venda Ã  vista";"480.00";"C"
"102";"13/06/2022";"Recebimento de parcela";"485.00";"C"
"103";"24/08/2022";"Cafezinho";"25.00";"D"
"104";"24/08/2022";"Recebimento de parcela";"35.00";"C"
"105";"24/08/2022";"Pagamento de Fornecedor";"135.00";"D"
"106";"24/08/2022";"Recebimento de parcela";"200.00";"C"
"107";"24/08/2022";"Recebimento de parcela";"255.00";"C"
"108";"24/08/2022";"Recebimento de parcela";"370.00";"C"
"109";"14/06/2022";"Recebimento de parcela";"20.00";"C"
"110";"14/06/2022";"Pagamento de Fornecedor";"310.00";"D"
"111";"14/06/2022";"Recebimento de parcela";"415.00";"C"
"112";"15/06/2022";"Cafezinho";"17.00";"D"
"113";"15/06/2022";"Venda Ã  vista";"185.00";"C"
